School Name,Address,Mobile Numbers,Phone Numbers
,"Behind Police Station, Jagjiwan Nagar, Dhanbad, Jharkhand 826003, India",8709781711,(0651) 2206216
,"Station Road, Railway Colony, Bokaro, Jharkhand 827010, India",9431090009,(06542) 279250
,"Diesel Colony, Patartu
, Ramgarh, Jharkhand 829120, India",9430101070,(06542) 276811
,"Rajendra Nagar Colony, P.O. Hehal, Ratu Road, Ranchi, Jharkhand 834005, India",9204858999,(0651) 2542428
,"P.O. S.R.C., Ramgarh, Jharkhand 829122, India",7004169247,(0657) 2372153
,"SUAF C/0 99 APO, Pakur, Jharkhand 937507, India",9891944017,(0151) 235741
,"South Settelment Railway Engineering Colony, Near Railway Station, Tatanagar, Jamshedpur, Jharkhand 831002, India",7654731232,(06542) 234275
,"P.O. Surda, Ghatsila, Jamshedpur, Jharkhand 832303, India",9955994455,(06542) 234275
,"Uliyan, P.O. & P.S. Kadma, Jamshedpur, Jharkhand 831005, India",9835173112,(0651) 2281176
,"Near Sakchi Jain Bhawan, Sakchi, Jamshedpur, Jharkhand 831001, India",9431124540,(06558) 292558
,"Katras Road, Dhanbad, Jharkhand 826004, India",9470194788,(0651) 2544550
,"Purvi Singhbhum, Burmamines, Jamshedpur, Jharkhand 831007, India",9608881888,(0651) 2545489
,"Torpa Road Khunti, Ranchi, Jharkhand 835210, India",9304489577,(0657) 2372782
,"Sindari Road, Jharia, Distt. Dhanbad 
, Dhanbad, Jharkhand 828111, India",7250636077,(0651) 2543384
,"Road No. 17, Old Purulia Road, Zakir Nagar (W), Mango, Jamshedpur, Jharkhand 831012, India",7250636077,(0657) 2226745
,"Sun Shine Enclave, Duplex No. 7/8, Opposite Binda Apartment, Dimna Chowk, Mango, Jamshedpur, Jharkhand 831012, India",7004827973,(0657) 2226745
,"Hill View Colony, Near Mishra Nursing Home, Dimna Chowk, Mango, Jamshedpur, Jharkhand 831012, India",9771439703,(06542) 232034
,"Vidya Nagar, Road Number 3, Ranchi, Jharkhand 834002, India",9771439707,(0651) 6571875
,"Plot No. 410, Steel City, Bokaro, Jharkhand , India",8804643112,(0657) 2421744
,"Village Guruwa, Near Lalpur Chowk Ansar Road, P.S Hazaribagh, P.O Seotagarha, Hazaaribagh, Jharkhand , India",7677888000,(0657) 2305367
,"AT Datkidih, Sr. No. 23, Plot No. 4703, P.O. Balidih, Bokaro Steel City, Bokaro, Jharkhand , India",7858888000,(0326) 2381373
,"90, New Baradwari, Sakchi, Jahanabad, Jharkhand , India",9693888000,(0326) 2381372
,"House No. 2154 RZ Mohala No. 427, Ward No. 20, Near SK Gas Godown, Ranchi, Jharkhand , India",9204384906,(06540) 274377
,"At Green Field Public School, Moharda, P.O. Luwabasa, Jamshedpur, Jharkhand , India",8092390035,(0326) 2245860
,"S-4, Samridhi Enclave, Road No. 3, Jamshedpur, Jharkhand , India",9334349321,(0326) 2203259
,"Circuit House Area, North Road No. 5, House No. 9, East Singhbhum, Jamshedpur, Jharkhand , India",8084018884,(0326) 2204959
,"Holding No. 126, Ward No. 4, Pump Road, Pashchim Singhbhum, Jharkhand , India",6201680077,(0651) 6452405
,"Abhimanyu Nagar, Array, Bokaro, Jharkhand , India",7070098753,(0651) 2440707
,"Sky Touch Enclave, Ward No. 8, Ground Floor, Azadnagar Near Police Check Post, Beside Amarjyoti School Old Purulia Road, Jamshedpur, Jharkhand , India",9102990115,(0326) 285449
,"NH-33, Beside SBI Dimna, Rivett Colony, Road No. 3, Jamshedpur, Jharkhand , India",(0651) 2230306,(0657) 2291458
,"Goushala Road, Dumka, Jharkhand , India",9431172302,(06582) 255321
,"Plot No. 1151, Mouza Gopalpur, Near Phed Office, Gopalpur, Purba Singhbhum, Jharkhand , India",9334410444,(0657) 2370704
,"New Colony, Nimidh Landmark, Pashchim Singhbhum, Jharkhand , India",9431907776,(0657) 2421413
,"A/45, Harmu Housing Colony, Ranchi, Jharkhand , India",9334208731,(0651) 2532659
,"2/45, New Area Gandhi Nagar Hinoo, Ranchi, Jharkhand , India",9304137748,(0326) 2230713
,"Jyoti Sinha, H/O Mr. Sanjay Pandey, Gram-Tilta, P.O. Ratu, Ranchi, Jharkhand , India",9631505589,(06532) 221271
,"Rama Niwas, Array, Ranchi, Jharkhand , India",9304542457,(0657) 2268511
,"Jay Prakash Nagar, Array, Giridih, Jharkhand , India",8709949712,(0657) 2315572
,"Gaytrinagar, Near Children Convent, Jamshedpur, Jharkhand , India",7903285134,(0651) 2208260
,"Abdul Aziz Road Patharchapti, Deoghar, Jharkhand , India",9304049664,(06432) 270263
,"New Nalanda Colony, Tetar Toli, Bariatu, Ranchi, Jharkhand , India",9431121122,(06542) 234098
,"Plot No. 1752, Khata No. 34 Ramnagar Vishnupuri, Hazaaribagh, Jharkhand , India",(0326) 2262023,(0651) 2265465
,"571/A, Krishna Nagar Colony, P.S. Sukhdeo Nagar, P.O. GPO, Ranchi, Jharkhand , India",8987623806,(0657) 2362864
,"Sri Niket New Bank Colony, Array, Dhanbad, Jharkhand , India",9334382331,(0326) 2473002
,"Latma Road, Singhmore Hatia Vikas Nagar, Road No. 3, Ranchi, Jharkhand , India",6200814432,(0657) 2298023
,"Mouza/Village Purihasa, Sundernagar Plot No. 816(P), Khata No. 1183, Jamshedpur, Jharkhand , India",9835305230,(0657) 2286811
,"House No. 10, Nanak Nagar, Jamshedpur, Jharkhand , India",8092150893,(0657) 2286811
,"Aayush Vihar, Tonko, Tonko Bridge, Ranchi, Jharkhand , India",9431155624,(0657) 2286912
,"Near Diet Ratu, Kathi Tand, Block Road, Ranchi, Jharkhand 834001, India",9798637137,(06542) 2268589
,"34, Kaderma Road, Jhumri Telaiya, Koderma, Jharkhand 825409, India",9470307392,(06542) 265655
,"Vill: Laudia, Sonua Road, Chakradharpur, Pashchim Singhbhum, Jharkhand 833102, India",9470959772,(0657) 2650400
,"97, New AG Colony Road, Harmu Housing Colony, Delatoli, Ranchi, Jharkhand 834002, India",7542965113,(0651) 2331784
,"Sainik Colony, Booti, Ranchi, Jharkhand 835217, India",9031346649,(0651) 2330996
,"17, Bhavani Chowk, Kumhar Toli, Pashchim Singhbhum, Jharkhand 833201, India",8002368123,(06553) 222091
,"Samlong Ghat Road, Ranchi, Jharkhand 834010, India",9304088764,(0651) 2331784
,"Near Kathitar, Ranchi, Jharkhand 835222, India",9641860593,(0651) 2252284
,"New Kalimati Road, Sakchi, Jamshedpur, Jharkhand 831001, India",7070484247,(0657) 2292723
,"Kumhar Toli, Kadru, Ranchi, Jharkhand 834004, India",9122502100,(06582) 255320
,"Pundag, Ranchi, Jharkhand , India",7979913980,(0657) 2745060
,"Vidyalaya Marg, Dumardaga, Booti, Ranchi, Jharkhand 835217, India",8409056162,(0657) 2443264
,"No. 29, Air Base Colony, Jamshedpur, Jharkhand 831005, India",9162974500,(0657) 2286677
,"Sindri, Dhanbad, Jharkhand 826001, India",9708692143,(0657) 2284061
,"Old Commissioners Compound, Main Road, Upper Bazar, Ranchi, Jharkhand 834001, India",9470992043,(0651) 3292566
,"Old Commissioners Compound, Main Road, Upper Bazar, Opposite to OCC Post Office, Ranchi, Jharkhand 834001, India",9199960739,(0657) 2210699
,"Parijat Road, Parsudih, Jamshedpur, Jharkhand 831002, India",9431507826,(0657) 2741776
,"Head Office:- First Floor, Yamuna Niwas, Near Kunwar Singh Statute, Check Post Chas, Bokaro, Jharkhand 827013, India",8709186194,(06524) 221414
,"C-5, Harmu Housing Colony, Ranchi, Jharkhand 834012, India",6200992505,(06542) 253543
,"Telco Colony, Jamshedpur, Jharkhand 831001, India",8292922732,(06542) 253007
,"Ashirwad's Outer Circle Road, South Park, Jamshedpur, Jharkhand 831001, India",9334281815,(06532) 226529
,"Ashirwad Building, Outer Circle Road, Bistupur, Jamshedpur, Jharkhand 831001, India",9955994455,(06522) 222253
,"B-319, Road Number 3, Ashok Path, Ashok Nagar, Ranchi, Jharkhand 834002, India",9835173112,(06548) 285805
,"Plot No. 76, Lohanchal Complex, BIADA Colony, Near Sec 12, Bokaro Steel City, Bokaro, Jharkhand 827012, India",9525193000,(06582) 259748
,"C/193, Vidyalaya Marg, Ashok Nagar, Ranchi, Jharkhand 834002, India",7004044001,(06562) 222456
,"Near Ashoka Industries, B.D. Costa Road, Jugsalai, Jamshedpur, Jharkhand 831006, India",9431108448,(06561) 218075
,"Piska More, Hehal, Ratu Road, Ranchi, Jharkhand 834001, India",9308463248,(06523) 220536
,"Doranda, Ranchi, Jharkhand 834002, India",9525193000,(06523) 220536
,"Vidyalaya Marg, Dumardaga, Booti, Ranchi, Jharkhand 842001, India",9431126300,(06434) 248110
,"Jamshedpur, Jharkhand 831001, India",(0657) 2288753,(06534) 252570
,"Ranchi, Jharkhand , India",9204125737,(06565) 290053
,"Near Ganesh Temple, Tentari Main Road, Chaibasa H.O., Pashchim Singhbhum, Jharkhand 833201, India",9430337503,(06526) 275571
,"Karamtoli, Juria, Lohardaga, Lohardaga, Jharkhand 835302, India",9334638564,(06526) 275571
,"B-57 Nehru Co-operative, Bokaro Steel Ciity, Bokaro, Jharkhand 827001, India",9431144158,(06432) 290372
,"Madhupur, Deoghar, Jharkhand 815353, India",7718805259,(06436) 222778
,"Asantalia, Chakradharpur, Pashchim Singhbhum, Jharkhand 833102, India",8051126511,(0657) 2745249
,"Madhupur, Deoghar, Jharkhand 815353, India",8292582299,(06435) 228067
,"Dumardaga, Near Zumar Bridge, H.B. Road, Booti, Ranchi, Jharkhand 835217, India",8825362729,(06549) 230611
,"Chuna Shah Colony, Cross Road, Jamshedpur, Jharkhand 831001, India",(0651) 6999444,(06549) 230611
,"Jamune, Daltonganj, Palamu, Jharkhand 822118, India",9525115111,(0651) 2535836
,"Sehera, Namkum, Ranchi, Ranchi, Jharkhand 834010, India",9234266275,(0651) 2411221
,"Bariyatu Road, Ranchi, Jharkhand 834009, India",(06540) 275010,(0651) 2410605
,"Sector IV/F, Bokaro Steel City, Bokaro, Jharkhand 827004, India",9431127027,(0657) 2220420
,"Ground Floor, Manoranjan Apptts., Near Overbridge, Kadru, Ranchi, Jharkhand 834002, India",7870644847,(0657) 2360715
,"Chianki, Daltonganj, Palamu, Jharkhand 822102, India",9471761651,(0652) 2292636
,"Bariatu, Ranchi, Jharkhand 834009, India",(0653) 422272,(0657) 2317365
,"Near Kitadih Sub Post Office, Hakim Line, Kitadih, Tatanagar, Tatanagar, Jamshedpur, Jharkhand 831002, India",8294694508,(0657) 6503045
,"Manifit, Kharangajhar, Jamshedpur, Jharkhand 831008, India",(0651) 2541110,(0657) 6451712
,"Opp. Road No. 5, Ashok Nagar, Ranchi, Jharkhand 834002, India",9835331052,(0657) 2362819
,"NH-31, Jhumri Telaiya

, Koderma, Jharkhand 825409, India",7370808180,(0657) 2142698
,"Bahu Bazaar, H.B. Road Old, Ranchi, Jharkhand 834002, India",(0651) 2550269,(0651) 2442484
,"170, Near Telephone Exchange, Gold Sahara City, Mango, Jamshedpur, Jharkhand 831012, India",8986645307,(0651) 2443016
,"Sector 5, Bokaro Steel City, Bokaro, Jharkhand 827005, India",(0326) 3203526,(06434) 2309458
,"Zakirnagar, Old Purulia Road, Mango, Jamshedpur, Jharkhand 832110, India",9470945398,(0657) 2347337
,"Pipe Line Road, Northern Town, Sakchi, Jamshedpur, Jharkhand 831001, India",(0651) 2230693,(0657) 2340757
,"Ormanjhi, P.O. Chackla, Ranchi, Jharkhand 834001, India",9470358722,(0657) 2286059
,"Bazar Tand, Behind Siddhu Kanhu Maidan, Ramgarh, Jharkhand 829122, India",90062825633,(0657) 2650623
,"Rikhia, Deoghar, Jharkhand 814112, India",9297779908,(0657) 2423983
,"Bauakala, Bhuli, Dhanbad, Jharkhand 828104, India",9297779909,(0657) 2432904
,"Village - Katghara, Opposite Silwar Firing Range, Hazaaribagh, Jharkhand 825101, India",9234742716,(0657) 2363185
,"Near Pardhi Chowk, NH 33, Purulia Road Tamulia
, Jamshedpur, Jharkhand 833101, India",9835524491,(06546) 291910
,"Dimna Road, Mango, Jamshedpur, Jharkhand 831001, India",9431170071,(06553) 222107
,"Road No. 10-A, Zakira Nagar, Mango Bistupur, Jamshedpur, Jharkhand 831001, India",9431353622,(0651) 2273354
,"Bariatu, Ranchi, Jharkhand 834009, India",9835143718,(0651) 2273346
,"Maharajganj, P.O. Dadpur, Hazaaribagh, Jharkhand 825406, India",9431383057,(0657) 2286574
,"Goel Bhawan, R Road, Bistupur, Jamshedpur, Jharkhand 831001, India",8757674340,(0651) 2260408
,"Masipirhi, Hazaaribagh, Jharkhand 825301, India",(0657) 2431799,(0657) 2730622
,"Near Bargain Bazar, Line Tank Road, Ranchi, Jharkhand 834001, India",7061385600,(0657) 2731325
,"Kharkai Link Road, Bistupur, Jamshedpur, Jharkhand 831001, India",(06591) 232536,(0657) 2730951
,"Near City Bus Stand, 110 Hazaribagh Road, Chatra Bazar, Chatra, Jharkhand 825401, India",7631998022,(0657) 2730951
,"Munshi Mohalla, Mango, Jamshedpur, Jharkhand 831012, India",7631998023,(0657) 2741032
,"Bandorjori Mission, P.O. Dumka, Bokaro, Jharkhand 827001, India",(0326) 2396200,(0657) 2741029
,"At-Pokhari, P.O. Bhilai Pahari, P.S. MGM, District - East Singhbhum, Jamshedpur, Jharkhand 832106, India",7631998024,(0657) 2318013
,"Baridih, Jamshedpur, Jharkhand 831017, India",(06549) 242204,(0657) 2318013
,"Netarhat, Latehar, Palamu, Jharkhand 835218, India",7631998026,(0657) 2211372
,"Mango, Jamshedpur, Jharkhand 831012, India",9204851565,(0657) 2346228
,"Devi Mandap Road, Edalhatu, Ranchi, Jharkhand 834008, India",9204851566,(0657) 2310195
,"Near Canara Bank, Railway Station Road, Burmamines, Jamshedpur, Jharkhand 831007, India",9204851568,(0657) 2226774
,"Old H.B. Road, Landmark Pragati Path, Ranchi, Jharkhand 834001, India",7631998029,(06582) 255295
,"Amla Tola, Chaibasa, Pashchim Singhbhum, Jharkhand 833201, India",8539993931,(0657) 6645219
,"C/O Mr. Sampati Mahato, Behind Carmel School, Near Bal Vihar, Kagalnagar, Sonari, Jamshedpur, Jharkhand 831011, India",8987392597,(0651) 2265786
,"P.O. Patratu, Thermal Power Station, Hazaaribagh, Jharkhand 829119, India",(06542) 233544,(0657) 2425628
,"At+Po- I.E., Gomia, Bokaro, Jharkhand 829112, India",9234300512,(0651) 6066626
,"Lake Avenue, Kanke Road, Ranchi, Jharkhand 834008, India",(06542) 233615,(0651) 2521360
,"Near Bagla Mandir, Kali Asthan Road, Main Road, Church Road, Ranchi, Jharkhand 834001, India",9472729746,(0657) 2431799
,"Sector 4, Near Dhurwa Post Office, Dhurwa, Ranchi, Jharkhand 834004, India",9234302208,(02832) 320361
,"Dumri, Jamtara, Giridih, Jharkhand 825106, India",9234302209,(0657) 2285093
,"Road Number 9, Azad Nagar, Mango, Jamshedpur, Jharkhand 832110, India",9204794995,(0651) 6565004
,"Badi Bazaar, Pulhatu, Chaibasa, Pashchim Singhbhum, Jharkhand 833201, India",9204797187,(0651) 2260248
,"P.O. Jhumri Telaiya, Koderma, Jharkhand 825409, India",(0326) 2227039,(0651) 2260323
,"At-Kamarshali, P.O. Chaitadih, Giridih, Jharkhand 815301, India",(06531) 276372,(0651) 2350885
,"Purulia Road, Ranchi, Jharkhand 834001, India",9905328578,(0657) 6060200
,"Jhumaritilaiya, Koderma, Jharkhand , India",9905328509,(06532) 223371
,"Behind Ramgarh College, Ramgarh Cantt, Ramgarh, Jharkhand 829122, India",9939450003,(06532) 224250
,"Plot No. 233, Sonary West Layout, Road No. 6, Sonari, Jamshedpur, Jharkhand 831011, India",9431106310,(0657) 2745044
,"Swarnarekha Link Road, Sakchi, Jamshedpur, Jharkhand 831001, India",9308303127,(06542) 227814
,"Ashok Nagar, Dhansar, Dhanbad, Jharkhand 828106, India",9934358179,(06542) 243195
,"Gurudwara Road, Mango
, Jamshedpur, Jharkhand 831001, India",9308994437,(0651) 2284134
,"Phed (Kh Tola), Booti, Ranchi, Jharkhand 834009, India",(0657) 290583,(06562) 222862
,"Sidhgora, Jamshedpur, Jharkhand 831009, India",9204772264,(0657) 2301760
,"L-Road, Bistupur, Jamshedpur, Jharkhand 831001, India",9835749300,(0657) 2301760
,"Ramakrishna Nagar, P.O.: Vidyapith, Deoghar, Jharkhand 814112, India",8987588000,(0651) 6571482
,"Vidya Nagar, Ranchi Airport, Ranchi, Jharkhand 834002, India",9006448396,(0651) 2265633
,"Lah Factory Road, Hindpiri, Ranchi, Jharkhand 834001, India",8084994139,(0651) 2261702
,"Doranda, Ranchi Road, Chakradharpur, Purba Singhbhum, Jharkhand 833102, India",9835161094,(0657) 6540005
,"Sector 9, Bokaro Steel City, Bokaro, Jharkhand 827001, India",7545883333,(0657) 2372803
,"Devi Mandap Road, Piska More, Ranchi, Jharkhand 834005, India",6203388680,(06582) 255282
,"Beside Union Bank, Purulia Road, Kantatoli, Ranchi, Jharkhand 834001, India",8252446041,(06582) 255328
,"P.O. Rengarih (Via-Simdega), Gumla, Jharkhand 835223, India",(0651) 2544545,(0326) 2381643
,"Station Road, P.O. Rehala
, Palamu, Jharkhand 822124, India",9470368892,(0651) 2206216
,"C/O Campus, C.P. Samity Middle School, Garhabasa Cable Basti, Golmuri, Jamshedpur, Jharkhand 831003, India",7644870460,(06542) 279250
,"Road No. 5, S Khan Building, New Rani Kudar, Kadma, Jamshedpur, Jharkhand 831001, India",7352801113,(06542) 276811
,"Pakur, Jharkhand 816107, India",9430115888,(0651) 2542428
,"P.O. Hiranpur, Pakur, Jharkhand 816104, India",9431360895,(0657) 2372153
,"D-42, Vijaya Garden, Baridhi, Jamshedpur, Jharkhand 831017, India",9304076515,(0151) 235741
,"Anand Shandar Station Road, Daltangani, Palamu, Jharkhand 822101, India",(0809) 2051349,(06542) 234275
,"Plot No. HE-25, City Centre, Sector 4, Bokaro Steel City, Bokaro, Jharkhand 827004, India",8092051349,(06542) 234275
,"Main Road, Jaridih Bazar, Bokaro, Jharkhand 829114, India",9234686509,(0651) 2281176
,"Near Jama Masjid, Upper Bazar, Ranchi, Jharkhand 834001, India",9431753396,(06558) 292558
,"Siroman Nagar, Dimna Road, Mango, Jamshedpur, Jharkhand 831012, India",9308978449,(0651) 2544550
,"Near Millenium Tower, OC Road, Bistupur, Jamshedpur, Jharkhand 831001, India",9234611998,(0651) 2545489
,"Tata Nagar Road, Bagbera, Jamshedpur, Jharkhand 831002, India",9234613034,(0657) 2372782
,"108, Kusai, Doranda, Ranchi, Jharkhand 834002, India",9204559057,(0651) 2543384
,"Park Road, Northern Town, Bistupur, Jamshedpur, Jharkhand 831001, India",(0657) 2943376,(0657) 2226745
,"Hulhundu, Ranchi, Jharkhand 834021, India",9334617811,(0657) 2226745
,"Putkee Bazar, Dhanbad, Jharkhand 826001, India",(0651) 6455443,(06542) 232034
,"P.O. Tilaiya Dam, Koderma, Jharkhand 825413, India",9386301502,(0651) 6571875
,"Saint Robert High School, Harmu Bypass Road, H.B. Raod, Ranchi, Jharkhand 834001, India",8969511302,(0657) 2421744
,"Ghat Line Road, Near Purani Sahibganj
, Sahibganj, Jharkhand 816109, India",9470928100,(0657) 2305367
,"Sakchi Market Road, Sakchi, Jamshedpur, Jharkhand 831012, India",(0651) 2290889,(0326) 2381373
,"NH-114A, Motileda, Giridih, Jharkhand 815312, India",9835010057,(0326) 2381372
,"Near Prasad Petrol Pump, Ratu Road, Ravi Steel, Pandra, Ranchi, Jharkhand 834005, India",9431325455,(06540) 274377
,"Ratu Road, Ranchi, Jharkhand 834001, India",9431581032,(0326) 2245860
,"Vill+P.O. Mahulia, Railway Station, Guludih, Dist- Singhbhum (East), Jamshedpur, Jharkhand 833101, India",9304076737,(0326) 2203259
,"12th Milestone, Ranchi- Khunti Road, Hardag, Ranchi, Jharkhand 835321, India",9934243743,(0326) 2204959
,"Mahilong, Ranchi-Purulia Highway, Ranchi, Jharkhand 835103, India",9570146316,(0651) 6452405
,"Shyamdih Katras Bazar, Dhanbad, Jharkhand 828114, India",8102918077,(0651) 2440707
,"Hiranpur, Pakur, Jharkhand , India",9386416554,(0326) 285449
,"Jamnagar, Sahibganj, Jharkhand , India",9430354215,(0657) 2291458
,"Kotalpokhar, Sahibganj, Jharkhand , India",9431701212,(06582) 255321
,"Udhwa, Sahibganj, Jharkhand , India",8102918077,(0657) 2370704
,"Barganda, Giridih, Jharkhand 815301, India",9386416554,(0657) 2421413
,"Kumhartoli, Parnala, Hazaaribagh, Jharkhand 825301, India",9709742219,(0651) 2532659
,"Bhuli Nagar, P.O. Sharamik Nagar, Dhanbad, Jharkhand 828105, India",7294857793,(0326) 2230713
,"Dhurwa, Ranchi, Jharkhand , India",9431058132,(06532) 221271
,"Srinagar Road, Baghmara, Dhanbad, Jharkhand 828306, India",9835727617,(0657) 2268511
,"Kadma Road, South Park, Bistupur, Jamshedpur, Jharkhand 831001, India",9661114252,(0657) 2315572
,"Sector IX, Bokaro Steel City, Bokaro, Jharkhand 827009, India",8102918073,(0651) 2208260
,"Baghmara, P.O. Navagarh, Dhanbad, Jharkhand 828306, India",9386416554,(06432) 270263
,"Karkatta Project Khalari
, Ranchi, Jharkhand 829205, India",8092556972,(06542) 234098
,"Markacho, Koderma, Jharkhand 825318, India",8210223826,(0651) 2265465
,"Mandap Toli, Hehal, P.O. Hehal, Ranchi, Jharkhand 834005, India",8863888756,(0657) 2362864
,"Khunti, Ranchi, Jharkhand 835210, India",9631748366,(0326) 2473002
,"Khunti, Ranchi, Jharkhand 835210, India",9631747403,(0657) 2298023
,"Telco Colony, Ghorabandha, Near State Bank of India ATM, Jamshedpur, Jharkhand 831008, India",8228008730,(0657) 2286811
,"Dimna Road, Mango, Jamshedpur, Jharkhand 831012, India",8863807777,(0657) 2286811
,"Zila School Road, Chaibasa, Pashchim Singhbhum, Jharkhand 833201, India",7004809755,(0657) 2286912
,"Bukru, Kanke, Ranchi, Jharkhand 834006, India",7004527249,(06542) 2268589
,"Choti Sitla Sthan Gali, J.N.Roy Road, Sahibganj, Jharkhand 816109, India",9304181259,(06542) 265655
,"New Forest Colony, Behind - Carmel School, Hazaaribagh, Jharkhand 825301, India",9431155301,(0657) 2650400
,"Sudha Villa, Westend Park, Hehal, Ranchi, Jharkhand 834005, India",9386591855,(0651) 2331784
,"Gandhi School Road, House No. 270, Ward No. 22, Jhumri Telaiya, Koderma, Jharkhand 825409, India",9304308468,(0651) 2330996
,"Sadanand Road (Near College More)
, Hazaaribagh, Jharkhand 825301, India",9798855972,(06553) 222091
,"Ghorabandha Main Road, Beside Vivek Vihar, P.O. Telco, Jamshedpur, Jharkhand 831004, India",8709732639,(0651) 2331784
,"H 1/129, Harmu Housing Colony, Ranchi, Jharkhand 843002, India",9955581227,(0651) 2252284
,"Holding No. 544, Sonari New Layout,
Sonari West, P.O. Sonari, Jamshedpur, Purba Singhbhum, Jharkhand 831011, India",(0656) 2290952,(0657) 2292723
,"430, Gandhi Nagar, Chakradharpur, Pashchim Singhbhum, Jharkhand 833102, India",9308009619,(06582) 255320
,"Booti, Ranchi, Jharkhand 835217, India",8986728899,(0657) 2745060
,"Dam Side, Dhurwa, Ranchi, Jharkhand 834004, India",9430114499,(0657) 2443264
,"Baleshwar Singh Path, Mango, Jamshedpur, Jharkhand 831012, India",9905534659,(0657) 2286677
,"Shiv Mandir Burmamines, Jamshedpur, Jharkhand 831001, India",(0657) 2430514,(0657) 2284061
,"Hatia, Ranchi, Jharkhand 834003, India",9835564900,(0651) 3292566
,"Rishipattanam, Chuttupalu, Ranchi, Jharkhand 835219, India",(0651) 2247185,(0657) 2210699
,"Dimna Nagar, Reveet Colony, Cross Road, Jamshedpur, Jharkhand 831001, India",9835193030,(0657) 2741776
,"Telco, Jamshedpur, Jharkhand 831004, India",9835197060,(06524) 221414
,"Road No. 5B, Sankosai, Dimna Road, (Near Somaya Memorial High School), Mango, Jamshedpur, Jharkhand 831012, India",(0651) 3298879,(06542) 253543
,"Near State Bank of India, PB Road, Jugsalai, Jamshedpur, Jharkhand 831006, India",9431590923,(06542) 253007
,"Burmamines, Jamshedpur, Jharkhand 831007, India",9835124219,(06532) 226529
,"P.O. Chirkunda, Dhanbad, Jharkhand 828202, India",9835907100,(06522) 222253
,"Near Bank of India, Sankoshai Road, Mango, Jamshedpur, Jharkhand 831012, India",9835054624,(06548) 285805
,"78-A, Chakradharpur Main Road, Chakradharpur, Pashchim Singhbhum, Jharkhand 833102, India",7643828111,(06582) 259748
,"Mango, Jamshedpur, Jharkhand 831012, India",9470959772,(06562) 222456
,"11, Super Market, Kagal Nagar, Sonari, Near Petrol Pump, Jamshedpur, Jharkhand 831011, India",9279005019,(06561) 218075
,"Ranchi Club, No. 5, Club Road, Beside Central Revenue Building, Ranchi, Jharkhand 834001, India",7250975663,(06523) 220536
,"Zakir Nagar, Old Purulia Road, Mango, Jamshedpur, Jharkhand 831012, India",(0652) 2244147,(06523) 220536
,"Killburn Colony, Shivpuri Colony, Hinoo, Ranchi, Jharkhand 834002, India",9507037622,(06434) 248110
,"Sector 5, Bokaro Steel City, Bokaro, Jharkhand 827005, India",9507037621,(06534) 252570
,"Near Block Office, Opposite Reliance Petrol Pump, Ramgarh, Ramgarh, Jharkhand 829122, India",(06584) 222221,(06565) 290053
,"Outer Circle Road, South Park, Bistupur, Jamshedpur, Jharkhand 831001, India",9708039398,(06526) 275571
,"Khunti, Ranchi, Jharkhand 835210, India",(06584) 262205,(06526) 275571
,"Behind Ram Mandir, OC Road, Bistupur, Jamshedpur, Jharkhand 831001, India",(06553) 256623,(06432) 290372
,"Kamil Bulke Path, Purulia Road, Ranchi, Jharkhand 834001, India",9234302109,(06436) 222778
,"17, Khasmahal Tata Nagar, Jamshedpur, Jharkhand 831001, India",(06553) 256623,(0657) 2745249
,"17/A, Khasmahal, Jamshedpur, Jharkhand 831001, India",(0651) 2506274,(06435) 228067
,"North Office Para Doranda, P.O. Hinoo
, Ranchi, Jharkhand 834002, India",9334063500,(06549) 230611
,"Madhupur, Deoghar, Jharkhand 815353, India",9887029143,(06549) 230611
,"Castairs Town, Deoghar, Jharkhand 814112, India",9887029143,(0651) 2535836
,"Naro, P.O/P.S.- Piska Nagari, Ranchi, Jharkhand 835303, India",(0651) 2330949,(0651) 2411221
,"P.O. Gomoh, Dhanbad, Jharkhand 826001, India",9334436045,(0651) 2410605
,"Karbala Tank Road, Ranchi, Jharkhand 834001, India",9234051234,(0657) 2220420
,"Jugsalai, Jamshedpur, Jharkhand 831006, India",9431174163,(0657) 2360715
,"Near Bank of India, Church Road, Bahu Bazaar, Ranchi, Jharkhand 834001, India",(06553) 222107,(0652) 2292636
,"Kharkai Link Road, Bistupur
, Jamshedpur, Jharkhand 831001, India",9471543104,(0657) 2317365
,"Sector 4-C, Near City Church, Bokaro Steel City, Bokaro, Jharkhand 827004, India",9546760825,(0657) 6503045
,"Netajee Park, Suriya, Giridih, Jharkhand 825320, India",9835738905,(0657) 6451712
,"Sithio, Dhurwa, Ranchi, Jharkhand 834004, India",7856080500,(0657) 2362819
,"Tiwari Chowk, Deoghar, Jharkhand , India",9304803232,(0657) 2142698
,"Road No.-4B, Ashok Nagar, Ranchi, Jharkhand 834002, India",9334266402,(0651) 2442484
,"College Road, Tiwary Chowk, Deoghar, Jharkhand 814143, India",9471150000,(0651) 2443016
,"Home Guard Chowk, Hazaaribagh, Jharkhand 825301, India",9801994801,(06434) 2309458
,"Pursudih Sakchi, Jamshedpur, Jharkhand 831001, India",9430303798,(0657) 2347337
,"Kaimo Patroli, Lohardaga, Jharkhand 835302, India",9431180610,(0657) 2428165
,"NH-2, Sahubahiyar, Topchanchi, Dhanbad, Jharkhand 828401, India",9334111102,(06549) 220495
